sample_id,sample_name,sample,control_status,fastq_filepath,raw_total_sequences,reads_mapped,error_rate,average_quality,percent_mapped,percent_peptides_detected,percent_peptides_between_10_and_100
0,VS54_140_rep1_S236_R1_001,VS54_140,beads_only,VS54_140_rep1_S236_R1_001.fastq.gz,1330529,94985,0.002180976,33.4,7.138889870119329,91.27236006924409,48.39873052510098
1,VS54_141_rep2_S285_R1_001,VS54_141,beads_only,VS54_141_rep2_S285_R1_001.fastq.gz,1511089,107474,0.0021916,33.4,7.112354070475002,92.31102135025967,51.846508944027704
2,VS54_142_rep1_S238_R1_001,VS54_142,beads_only,VS54_142_rep1_S238_R1_001.fastq.gz,2032000,108428,0.002182647,33.4,5.336023622047245,91.34448932487017,52.23600692440854
3,VS54_143_rep1_S239_R1_001,VS54_143,beads_only,VS54_143_rep1_S239_R1_001.fastq.gz,1044034,92609,0.002293514,33.4,8.870304990067373,91.30121177149452,46.16272360069244
4,VS54_189_rep2_S381_R1_001,VS54_189,beads_only,VS54_189_rep2_S381_R1_001.fastq.gz,1150769,106159,0.002164489,33.4,9.22504864138676,93.36410848240047,51.78880553952683
5,VS54_190_rep2_S382_R1_001,VS54_190,beads_only,VS54_190_rep2_S382_R1_001.fastq.gz,1297324,107019,0.002308001,33.4,8.249211453730911,92.23889209463358,51.053087132140796
6,VS54_190_rep1_S334_R1_001,VS54_190,beads_only,VS54_190_rep1_S334_R1_001.fastq.gz,1129583,97871,0.002291179,33.3,8.664347816849228,92.61396422388921,48.211194460473166
7,VS54_45_rep2_S93_R1_001,VS54_45,beads_only,VS54_45_rep2_S93_R1_001.fastq.gz,1093984,52549,0.002170926,33.4,4.803452335683154,76.96191575302943,27.30813618003462
8,VS54_47_rep2_S95_R1_001,VS54_47,beads_only,VS54_47_rep2_S95_R1_001.fastq.gz,1576706,64071,0.00219007,33.4,4.063598413401103,74.94229659549913,33.5401038661281
9,VS54_95_rep1_S143_R1_001,VS54_95,beads_only,VS54_95_rep1_S143_R1_001.fastq.gz,1514496,100132,0.002193504,33.4,6.611572430696416,79.83266012694749,45.18176572417772
10,VS56_1_rep1_S1_R1_001,VS56_1,empirical,VS56_1_rep1_S1_R1_001.fastq.gz,889406,16788,0.001919228,33.4,1.887551916672476,57.039815349105595,6.0155799192152335
11,VS56_1_rep2_S49_R1_001,VS56_1,empirical,VS56_1_rep2_S49_R1_001.fastq.gz,1043967,70701,0.001789225,33.5,6.772340505015963,89.13733410271206,37.795729948066935
12,VS56_10_rep1_S10_R1_001,VS56_10,empirical,VS56_10_rep1_S10_R1_001.fastq.gz,847983,34579,0.001833483,33.5,4.0777940123799645,79.24120023081362,13.906520484708599
13,VS56_10_rep2_S58_R1_001,VS56_10,empirical,VS56_10_rep2_S58_R1_001.fastq.gz,903739,16799,0.002256087,33.4,1.858833136558232,52.84189267166762,5.654933641084824
14,VS56_100_rep2_S244_R1_001,VS56_100,empirical,VS56_100_rep2_S244_R1_001.fastq.gz,1047159,26638,0.0018605,33.5,2.543835272389389,68.58049624927871,10.86266589728794
15,VS56_100_rep1_S196_R1_001,VS56_100,empirical,VS56_100_rep1_S196_R1_001.fastq.gz,1821073,106988,0.001934609,33.5,5.874997872133627,87.36295441431045,49.04789382573572
16,VS56_101_rep1_S197_R1_001,VS56_101,empirical,VS56_101_rep1_S197_R1_001.fastq.gz,1106463,24485,0.002407188,33.5,2.2129072549195046,49.16330063473745,6.130986728216965
17,VS56_101_rep2_S245_R1_001,VS56_101,empirical,VS56_101_rep2_S245_R1_001.fastq.gz,981718,28495,0.00179049,33.5,2.9025646876190514,65.60877091748412,11.62723600692441
18,VS56_102_rep2_S246_R1_001,VS56_102,empirical,VS56_102_rep2_S246_R1_001.fastq.gz,1016764,20163,0.001860834,33.5,1.983056048404546,53.66416618580496,7.991921523369879
19,VS56_102_rep1_S198_R1_001,VS56_102,empirical,VS56_102_rep1_S198_R1_001.fastq.gz,1169647,34754,0.001903666,33.5,2.9713238267614077,69.61915753029429,15.911713791113677
20,VS56_103_rep1_S199_R1_001,VS56_103,empirical,VS56_103_rep1_S199_R1_001.fastq.gz,1177089,44214,0.001960013,33.5,3.7562155452986135,66.53202538949799,18.8401615695326
21,VS56_103_rep2_S247_R1_001,VS56_103,empirical,VS56_103_rep2_S247_R1_001.fastq.gz,998016,51827,0.001788257,33.5,5.193002917788893,75.02885170225044,24.04789382573572
22,VS56_104_rep1_S200_R1_001,VS56_104,empirical,VS56_104_rep1_S200_R1_001.fastq.gz,1104816,27158,0.001902202,33.5,2.4581468769460253,58.698788228505485,10.170225043277553
23,VS56_104_rep2_S248_R1_001,VS56_104,empirical,VS56_104_rep2_S248_R1_001.fastq.gz,1138361,23145,0.001950313,33.5,2.033186309088242,56.01557991921523,10.271206001154068
24,VS56_105_rep1_S201_R1_001,VS56_105,empirical,VS56_105_rep1_S201_R1_001.fastq.gz,1075483,33946,0.00206151,33.5,3.1563492867855656,67.68609347951529,13.819965377957299
25,VS56_105_rep2_S249_R1_001,VS56_105,empirical,VS56_105_rep2_S249_R1_001.fastq.gz,1104025,25698,0.002075648,33.5,2.3276646815063065,62.55049047893826,10.530871321407963
26,VS56_106_rep2_S250_R1_001,VS56_106,empirical,VS56_106_rep2_S250_R1_001.fastq.gz,1086076,43552,0.001642634,33.5,4.010032447084734,69.48932487016734,19.21523369878823
27,VS56_106_rep1_S202_R1_001,VS56_106,empirical,VS56_106_rep1_S202_R1_001.fastq.gz,881611,28235,0.001841686,33.4,3.2026596764332567,65.33467974610502,11.771494518176572
